,latitude,longitude,altitude,station,score_direction,score_force
30,44.11,3.01,7.13,121450.01000000004,0.6346084446048358,1.0920200143984102
31,44.06,5.99,4.609999999999999,40490.01,0.5695903575209708,0.8941281718591864
32,44.08,5.05,1.06,840310.01,0.5000781616382679,0.7046608037364954
33,44.41,2.48,5.79,122540.01000000007,0.6098557491870258,0.8234532581082995
34,44.45,6.03,6.0,51700.01,0.5987079904637391,0.6955230139974612
35,44.14,4.86,0.5500000000000002,840870.01,0.6239408411646896,0.9437125516936878
36,44.91,4.97,1.64,260640.01,0.7099714648065948,0.8583653290001894
37,44.88,6.64,13.11,51830.01,0.4152424136728287,0.7437777667354115
38,44.58,4.73,0.74,261980.01,0.7093347805861374,0.7957494960938115
39,44.9,2.42,6.4,150140.03999999995,0.6305628779655761,0.7357181133568093
40,44.53,4.36,2.8,71310.01,0.5880392994446818,0.7801040903516734
41,45.21,5.84,2.2,385380.02,0.4906560024609705,0.7303343397337207
42,45.36,5.31,3.86,383840.01,0.5782821983869627,0.8719750694813471
43,45.72,4.93,1.98,690290.01,0.656505462602185,0.8346208639528874
44,45.73,5.08,2.4,692990.01,0.632021815348656,0.8553532137404539
45,45.93,6.09,4.55,741820.01,0.47137150466045274,0.7140488352396729
46,45.97,5.32,2.52,10890.01,0.6195502917953999,0.7143525332468218
47,45.78,3.14,3.26,631130.01,0.5204882979550579,0.8520742899225341
48,45.54,4.29,3.96,420050.01,0.534836226533658,0.7976136662750118
49,45.64,5.87,2.35,733290.01,0.5647752038098313,0.7758737601209316
50,46.31,-0.4,0.61,791910.05,0.6828805021058717,0.7358358945841832
51,46.87,1.7400000000000002,1.57,360630.01,0.692981763637799,0.752738335481371
52,46.7,1.25,1.1,361730.02,0.6527101096224117,0.6176167737860482
53,46.59,0.31,1.2,860270.01,0.7036337895233601,0.7019228963182842
54,46.7,-1.38,0.9100000000000001,851910.03,0.7279766924787242,0.6825076050711932
55,46.69,-2.3299999999999996,0.32,851130.01,0.7895959126799814,0.7232994152067763
56,47.44,0.72,1.12,371790.01,0.717909362630261,0.6714571347114525
57,47.08,-0.88,1.3500000000000003,490990.03,0.7147428571428571,0.6466312936419533
58,47.31,-2.1500000000000004,0.04,441030.01,0.718368657675016,0.7451702641920165
59,47.47,-0.61,0.48000000000000015,490200.01,0.7090754877014419,0.604064523056925
60,47.15,-1.6000000000000005,0.25999999999999984,440200.01,0.708204094292804,0.6599831127332842
61,47.29,-3.2199999999999993,0.43,560090.01,0.7797422599402798,0.9197762422398278
62,47.32,1.68,0.86,410970.01,0.6401459854014598,0.6413837677022837
63,47.97,-4.159999999999999,0.85,292160.01,0.7303625969144021,0.7081820371707573
64,47.99,1.77,1.25,450550.01,0.7141690856313497,0.7582738081152796
65,47.67,1.2100000000000002,1.3,412810.01,0.715548255904896,0.7326298640700325
66,47.94,0.18999999999999972,0.52,721810.01,0.6775738876258526,0.6251538078112817
67,47.72,-2.7200000000000006,1.32,561370.01,0.736488726790451,0.6783178544625521
68,47.76,-3.4399999999999995,0.43999999999999984,561850.01,0.7333558065059835,0.7435601176026899
69,47.56,-0.31,0.5300000000000001,491880.01,0.698956191681164,0.6917021803683954
70,48.07,-1.7300000000000006,0.37000000000000016,352810.01,0.6926730514677256,0.688633770481556
71,48.46,1.5,1.56,280700.01,0.7111532437556674,0.5574937751862942
72,48.06,1.38,1.27,281980.01,0.724905303030303,0.706770305136087
73,48.28,-4.4399999999999995,0.83,291200.01,0.7556458544971477,0.6735928373205631
74,48.47,-5.05,0.68,291550.05,0.8168329281582698,0.9290947015631857
75,48.45,-4.379999999999999,0.98,290750.01,0.7532641182947931,0.7349571469390057
76,48.46,-5.05,0.39,291550.08,0.8084577114427861,0.7478801496671122
77,48.44,0.11,1.45,610010.01,0.6942353816888595,0.6691142781852897
78,48.03,-0.75,1.0000000000000002,531300.08,0.7441042449436406,0.6903512968091868
79,48.82,-3.4699999999999993,0.58,221680.01,0.7678323832999537,0.7742327315710741
80,48.52,-4.14,1.15,292640.01,0.7410977242302543,0.7545249932368703
81,48.75,-3.4599999999999995,0.87,221130.06,0.7327864973578357,0.7319196309000829
82,48.58,-2.07,0.65,352280.01,0.7446054750402576,0.7338245742466907
83,48.6,-3.8099999999999996,0.9,291510.04,0.7212868547940874,0.7200274786999288
84,48.54,-4.659999999999999,0.4,291780.01,0.7435549525101763,0.65276936933715
85,48.53,-2.8499999999999996,1.3500000000000003,223720.01,0.7589671205579541,0.7221639442091485
86,48.68,-4.329999999999999,0.18,290210.01,0.8303011292346298,1.1473616735175383
87,49.18,-0.45,0.6700000000000002,141370.01000000004,0.7134736518666461,0.7649380615329318
88,49.02,1.2200000000000002,1.38,273470.01,0.7121895164854593,0.7048090558822134
89,49.38,1.18,1.52,761160.01,0.7212798118911656,0.7059703899643186
90,49.36,0.16,1.43,145780.00999999995,0.7146872803935348,0.6705646173749418
91,49.93,1.08,0.4,762170.01,0.7771023302938197,0.8192749663382622
92,49.53,0.09,0.95,764810.01,0.7636640487257573,0.7483509273020039
93,49.65,-1.4600000000000006,1.38,502090.01,0.7713781485640944,0.743077329460507
94,49.73,-1.94,0.08,500200.01,0.8053111762789182,0.9405720053879746
95,49.51,0.07000000000000028,1.04,765520.01,0.7559943582510579,1.0229067436730743
96,50.13,1.8300000000000003,0.72,800010.01,0.7089914477232453,0.7039853291717643
