,latitude,longitude,altitude,station,score_direction,score_force
0,42.52,8.79,58.0,20050001.0,0.6406462449012237,0.8396427101929893
1,42.51,3.13,86.0,66148001.0,0.7275244299674267,1.5555974900916656
2,42.63,8.92,145.0,20093002.0,0.5644731837200456,1.217170408376046
3,42.91,3.06,40.0,11202001.000000004,0.7204241071428571,1.068642993837747
4,42.73,2.87,43.999999999999986,66136001.0,0.5938478396994364,1.0542636246384869
5,42.54,9.480000000000002,12.0,20148001.0,0.5923675255226057,0.7669607343327534
6,42.26,9.54,74.0,20303002.0,0.5758440711140108,0.9400384435061043
7,43.2,6.5,100.00000000000001,83079001.0,0.5144969676829775,0.6920960061007623
8,43.25,5.78,418.0,83035001.0,0.5942808824659851,0.9271180125915424
9,43.38,6.38,82.0,83031001.0,0.5269578905942542,0.8319915687320083
10,43.22,2.2900000000000005,127.0,11069001.0,0.78525,0.830234793573618
11,43.08,5.94,134.0,83153001.0,0.7067288367232093,1.008416816442474
12,43.4,3.69,77.00000000000001,34301002.0,0.6481329839502129,0.8892418405500506
13,43.32,3.35,16.0,34209002.0,0.6301816108803648,0.9137001367391578
14,43.24,6.13,73.0,83049005.0,0.5551915898529748,0.8092160274498059
15,43.43,5.21,32.0,13054000.999999996,0.5930366612866036,1.0152935794841758
16,43.03,6.46,131.0,83069003.0,0.7218516434943342,1.0397258020526083
17,43.09,6.14,4.0,83069001.0,0.6211915233906438,0.8815759659099465
18,43.17,2.72,60.000000000000014,11203004.0,0.7270311313591495,1.0413441667343146
19,43.7,5.76,296.0,13099001.0,0.5415530804579796,0.645815320053579
20,43.55,2.2900000000000005,241.0,81120002.0,0.5825715303336103,0.939184705590913
21,43.64,7.2,25.999999999999986,6088001.000000007,0.6101005265677357,0.8994947471496152
22,43.55,6.95,4.0,6029001.0,0.7468284611141754,0.5984357244419287
23,43.57,3.96,8.0,34154001.0,0.6091456077015643,0.9329097738334848
24,43.6,5.1,59.0,13103001.0,0.5840130505709625,0.9388409932713718
25,43.52,4.92,24.0,13047001.0,0.6482226154093614,0.9949199874837893
26,43.86,4.41,62.000000000000014,30189001.0,0.6189999229524616,0.8206854906661897
27,43.91,2.1100000000000003,171.0,81284001.0,0.5244540141494924,0.7529431380003792
28,43.91,4.9,48.000000000000014,84007005.0,0.6218178916287607,0.8746012790310974
29,43.76,4.41,105.00000000000001,30258001.0,0.6264051662281751,0.8348099797248917
30,44.11,3.01,713.0,12145001.000000004,0.6025802959220498,1.0945391278217864
31,44.06,5.99,460.99999999999994,4049001.0,0.5484159947878492,0.8825263108150104
32,44.08,5.05,106.0,84031001.0,0.4751445990307957,0.68491525629153
33,44.41,2.48,579.0,12254001.000000007,0.5811723505378137,0.8173932346005083
34,44.45,6.03,600.0,5170001.0,0.5845574098285011,0.6915385233185195
35,44.14,4.86,55.000000000000014,84087001.0,0.5972115236481281,0.9287768879228409
36,44.91,4.97,164.0,26064001.0,0.6759670259987318,0.8487615539215756
37,44.88,6.64,1311.0,5183001.0,0.3885594698290896,0.7325305717204313
38,44.58,4.73,74.0,26198001.0,0.6926655295394635,0.7788149237096689
39,44.9,2.42,640.0,15014003.999999996,0.5893161730500853,0.7343010043502686
40,44.53,4.36,280.0,7131001.0,0.5595044852627082,0.7787260245176932
41,45.21,5.84,220.0,38538002.0,0.46912251018995615,0.7223888278548409
42,45.36,5.31,386.0,38384001.0,0.5547518084310302,0.8676638684685494
43,45.72,4.93,198.0,69029001.0,0.6370998548399419,0.8408460168698608
44,45.73,5.08,240.0,69299001.0,0.6006232956758862,0.8556366624282313
45,45.93,6.09,455.0,74182001.0,0.4471371504660453,0.7120221238002955
46,45.97,5.32,252.0,1089001.0,0.5984380363886028,0.7148600460899437
47,45.78,3.14,326.0,63113001.0,0.49101936085840914,0.8621517122741917
48,45.54,4.29,396.0,42005001.0,0.509307988374833,0.7992980760449692
49,45.64,5.87,235.0,73329001.0,0.5428202437646299,0.7760639348573937
50,46.31,-0.4,61.0,79191005.0,0.6507556363035758,0.7295634620637994
51,46.87,1.7400000000000002,157.0,36063001.0,0.6502723612536512,0.749970499093506
